legacy_slug,matched_by,new_slug,new_url,title
dec-architecture-alternatives,doi:22645935,direct-energy-converter-architectures-for-a-d-he-tandem,https://www.kronosfusionenergy.com/publications/direct-energy-converter-architectures-for-a-d-he-tandem.html,"Direct-Energy-Converter Architectures for a D–³He Tandem-Mirror Burner: Venetian-Blind, Traveling-Wave, and Periodic-Electrostatic-Plug Collectors Compared on Efficiency, Grid Erosion, and Lifetime"
dec-collector-grid,doi:22645858,direct-energy-converter-collector-physics-in-a-d-he-tan,https://www.kronosfusionenergy.com/publications/direct-energy-converter-collector-physics-in-a-d-he-tan.html,"Direct-Energy-Converter Collector Physics in a D-³He Tandem-Mirror Burner: Multi-Stage Deceleration, Secondary Emission, and the Space-Charge-Limited Grid Optimum"
dec,doi:22645700,direct-energy-conversion,https://www.kronosfusionenergy.com/publications/direct-energy-conversion.html,Direct Energy Conversion for a D–³He Tandem-Mirror Burner: Recovering Charged-Particle Power Directly Without a Thermal Cycle
density-limit-window,doi:22645947,the-greenwald-fraction-density-limit-and-the-radiative-,https://www.kronosfusionenergy.com/publications/the-greenwald-fraction-density-limit-and-the-radiative-.html,The Greenwald-Fraction Density Limit and the Radiative Boundary: Mapping the Safe Operating Envelope of a Compact Spherical-Tokamak Breeder
detachment-radiated-power-control,doi:22645874,real-time-detachment-control-for-a-super-x-divertor-in-,https://www.kronosfusionenergy.com/publications/real-time-detachment-control-for-a-super-x-divertor-in-.html,Real-Time Detachment Control for a Super-X Divertor in a Compact Spherical-Tokamak Breeder: Radiated-Power-Fraction Regulation with a Radiative-Collapse Guard
disruptions-runaway,doi:22645724,disruptions-and-runaway-electrons,https://www.kronosfusionenergy.com/publications/disruptions-and-runaway-electrons.html,"Disruptions, Runaway-Electron Avalanche and Electromagnetic Loads in a Compact Spherical-Tokamak Breeder: The Design Case for Shattered-Pellet Mitigation"
divertor-exhaust-alternatives,doi:22645933,a-divertor-exhaust-concept-down-select-for-a-compact-sp,https://www.kronosfusionenergy.com/publications/a-divertor-exhaust-concept-down-select-for-a-compact-sp.html,"A Divertor-Exhaust Concept Down-Select for a Compact Spherical-Tokamak Breeder: Super-X, Snowflake, X-Point-Target, and Liquid-Metal Geometries Ranked by Peak Heat Flux and Detachment Window"
elm-free-nt-edge,doi:22645949,peeling-ballooning-access-to-the-elm-free-pedestal-at-0,https://www.kronosfusionenergy.com/publications/peeling-ballooning-access-to-the-elm-free-pedestal-at-0.html,Peeling-Ballooning Access to the ELM-Free Pedestal at δ = −0.30: How Negative Triangularity Averts Transient Edge Loads in a Compact Spherical-Tokamak Breeder
endcell-plug-alternatives,doi:22645939,tandem-mirror-end-cell-and-plug-alternatives-for-a-d-he,https://www.kronosfusionenergy.com/publications/tandem-mirror-end-cell-and-plug-alternatives-for-a-d-he.html,"Tandem-Mirror End-Cell and Plug Alternatives for a D–³He Burner: Kinetic-Stabilizer End-Cells, the Mirror-Ratio–End-Loss Optimum, and Expander Flux-Expansion Trades"
firstwall-neutron-damage,doi:22645774,first-wall-neutron-damage-lifetime,https://www.kronosfusionenergy.com/publications/first-wall-neutron-damage-lifetime.html,"First-Wall and Plasma-Facing-Component Lifetime Under 14 MeV Loading: Displacement Damage, Bubble Swelling and Erosion in a Compact Spherical-Tokamak Breeder"
flowing-li-divertor,doi:22645750,flowing-lithium-vapor-box-divertor,https://www.kronosfusionenergy.com/publications/flowing-lithium-vapor-box-divertor.html,A Flowing-Lithium Vapor-Box Divertor with Molten-Salt In-Loop Tritium Extraction for a Compact Spherical-Tokamak Breeder
four-digital-twins,doi:22645805,four-coupled-digital-twins-for-a-compact-spherical-toka,https://www.kronosfusionenergy.com/publications/four-coupled-digital-twins-for-a-compact-spherical-toka.html,"Four Coupled Digital Twins for a Compact Spherical-Tokamak Breeder: Multi-Rate Co-Simulation, Propagated Uncertainty, and a Real-Time Self-Consistency Monitor"
fueling-pellet-ash,doi:22645848,pellet-fueling-particle-balance-and-helium-ash-exhaust-,https://www.kronosfusionenergy.com/publications/pellet-fueling-particle-balance-and-helium-ash-exhaust-.html,"Pellet Fueling, Particle Balance, and Helium-Ash Exhaust for Sustained Burn in a Compact Spherical-Tokamak Breeder"
he3-fuel-cycle,doi:22645734,helium-3-fuel-cycle,https://www.kronosfusionenergy.com/publications/helium-3-fuel-cycle.html,"The D-3He Fuel Cycle Does Not Close Indigenously: Helium-3 Supply, the Lunar Gate on Burner-Scale Fuel, and the Breeder's Strategic Co-Product"
isotope-applications,doi:22645762,isotopes-and-14-mev-applications,https://www.kronosfusionenergy.com/publications/isotopes-and-14-mev-applications.html,"The Medical-Isotope Mission of a Compact Spherical-Tokamak Breeder: Mo-99, Targeted-Alpha Emitters, and Byproduct Isotope Co-Production on a 14 MeV Neutron Source"
maturity-gated-actuation,doi:22645795,maturity-gated-actuation-authority,https://www.kronosfusionenergy.com/publications/maturity-gated-actuation-authority.html,Maturity-Gated Actuation Authority: Binding PCMM Verification Credibility to Runtime Control Authority in an Autonomous Fusion Control Stack
metrovolt-facility-integration,doi:22645919,data-center-integration-of-a-d-he-tandem-mirror-burner-,https://www.kronosfusionenergy.com/publications/data-center-integration-of-a-d-he-tandem-mirror-burner-.html,"Data-Center Integration of a D–³He Tandem-Mirror Burner: Four-Nines Uptime Against Plasma Transients, the PUE-Reduction Pathway, and Waste-Heat Reuse for Behind-the-Meter Dispatch"
metrovolt-power-delivery-alternatives,doi:22645941,power-delivery-topologies-for-a-d-he-tandem-mirror-data,https://www.kronosfusionenergy.com/publications/power-delivery-topologies-for-a-d-he-tandem-mirror-data.html,"Power-Delivery Topologies for a D–³He Tandem-Mirror Data-Center Burner: Solid-State-Transformer versus Direct-DC Conversion, Grid-Forming Control, and DC-Bus Fault-Ride-Through"
metrovolt-power-interface,doi:22645783,metrovolt-hvdc-native-power-interface,https://www.kronosfusionenergy.com/publications/metrovolt-hvdc-native-power-interface.html,The Direct-Energy-Converter-to-Load Interface in a D-3He Tandem-Mirror Data-Center Burner: An HVDC-Native Power-Electronics Path with Millisecond Load-Following
mhd-stability,doi:22645740,ideal-mhd-stability,https://www.kronosfusionenergy.com/publications/ideal-mhd-stability.html,"Free-Boundary Equilibrium and Ideal-MHD Stability of a Compact Spherical-Tokamak Breeder: Troyon, Mercier, Ballooning and External-Kink Margins with a Vertical-Stability Flag"
mlip-discovery-pipeline,doi:22645797,ml-potential-materials-discovery-pipeline,https://www.kronosfusionenergy.com/publications/ml-potential-materials-discovery-pipeline.html,"A Machine-Learning Interatomic-Potential to Activation-Transport Pipeline for Low-Activation Fusion Alloy Discovery: CHGNet Screening, DFT Confirmation, and OpenMC/FISPACT Down-Selection"
mpc-burn-control,doi:22645807,model-predictive-burn-control-inside-a-certified-safe-e,https://www.kronosfusionenergy.com/publications/model-predictive-burn-control-inside-a-certified-safe-e.html,Model-Predictive Burn Control Inside a Certified Safe Envelope: A Reference-Governor MPC Bounded by a Control-Barrier-Function Safety Clamp
neoclassical-neo,doi:22645832,neoclassical-transport-poloidal-flows-and-impurity-scre,https://www.kronosfusionenergy.com/publications/neoclassical-transport-poloidal-flows-and-impurity-scre.html,"Neoclassical Transport, Poloidal Flows, and Impurity Screening in a Compact Spherical-Tokamak Breeder: The Collisional Baseline Beneath Turbulent Transport"
neural-equilibrium-reconstruction,doi:22645801,sub-millisecond-neural-equilibrium-reconstruction-robus,https://www.kronosfusionenergy.com/publications/sub-millisecond-neural-equilibrium-reconstruction-robus.html,Sub-Millisecond Neural Equilibrium Reconstruction Robust to Sensor Dropout: A Virtual-Sensor Mesh for Radiation-Degraded Diagnostics in a Compact Spherical-Tokamak Breeder
neural-flux-surrogates,doi:22645803,neural-operator-flux-surrogates-for-control-latency-tra,https://www.kronosfusionenergy.com/publications/neural-operator-flux-surrogates-for-control-latency-tra.html,Neural-Operator Flux Surrogates for Control-Latency Transport: Differentiable DeepONet-FNO Emulation of Nonlinear Gyrokinetics with Manifold-Abstention Monitoring
neutron-streaming-dose,doi:22645842,neutron-streaming-duct-and-port-penetrations-and-occupa,https://www.kronosfusionenergy.com/publications/neutron-streaming-duct-and-port-penetrations-and-occupa.html,"Neutron Streaming, Duct and Port Penetrations, and Occupational Dose Around a 14 MeV Compact Spherical-Tokamak Breeder"
neutronics-activation-twin,doi:22645878,a-neutronics-and-activation-digital-twin-with-rigorous-,https://www.kronosfusionenergy.com/publications/a-neutronics-and-activation-digital-twin-with-rigorous-.html,A Neutronics and Activation Digital Twin with Rigorous-Two-Step Shutdown-Dose Mapping for a Compact Spherical-Tokamak Breeder
nt-confinement,doi:22645722,negative-triangularity-confinement,https://www.kronosfusionenergy.com/publications/negative-triangularity-confinement.html,Negative-Triangularity Turbulence Suppression in a Compact Spherical-Tokamak Breeder: Nonlinear Gyrokinetics of Ion- and Electron-Scale Quiescence at the Operating Point
nuclear-data-uq,doi:22645777,nuclear-data-uq-for-the-tbr,https://www.kronosfusionenergy.com/publications/nuclear-data-uq-for-the-tbr.html,Nuclear-Data Uncertainty Quantification for Tritium Breeding: Which 14 MeV Cross-Section Channels Set the Error Bar on the Breeding Ratio
ood-extrapolation-ledger,doi:22645819,out-of-distribution-detection-and-epistemic-gating-for-,https://www.kronosfusionenergy.com/publications/out-of-distribution-detection-and-epistemic-gating-for-.html,Out-of-Distribution Detection and Epistemic Gating for Autonomous Fusion Control: A Machine-Readable Extrapolation Ledger That Throttles Model Authority Beyond the Validated Envelope
pedestal-sol-nt,doi:22645830,the-negative-triangularity-edge-heat-flux-width-the-elm,https://www.kronosfusionenergy.com/publications/the-negative-triangularity-edge-heat-flux-width-the-elm.html,"The Negative-Triangularity Edge: Heat-Flux Width, the ELM-Free Pedestal, and the Scrape-Off-Layer Boundary Condition for Power Handling in a Compact Spherical-Tokamak Breeder"
pf-coil-set,doi:22645945,poloidal-field-coil-set-and-equilibrium-current-optimiz,https://www.kronosfusionenergy.com/publications/poloidal-field-coil-set-and-equilibrium-current-optimiz.html,"Poloidal-Field Coil Set and Equilibrium-Current Optimization for a Compact Spherical-Tokamak Breeder: Shaping the Negative-Triangularity, Solenoid-Free Equilibrium with Vertical-Stability Authority"
plug-coil-engineering,doi:22645915,engineering-the-26-49-t-plug-coil-of-a-d-he-tandem-mirr,https://www.kronosfusionenergy.com/publications/engineering-the-26-49-t-plug-coil-of-a-d-he-tandem-mirr.html,"Engineering the 26.49 T Plug Coil of a D–³He Tandem-Mirror Burner: Three-Dimensional Structural FEA, No-Insulation REBCO Quench Margin and Throat-Conductor Stress"
plug-fluence-shielding,doi:22645708,centrepost-fluence-and-shielding,https://www.kronosfusionenergy.com/publications/centrepost-fluence-and-shielding.html,"The Centrepost Life-Limiter: Fast-Fluence, dpa, and Shielding Setting the Cartridge-Replacement Cadence for a Compact Spherical-Tokamak Breeder"
pmi-sputtering-erosion,doi:22645885,plasma-material-interaction-in-a-compact-spherical-toka,https://www.kronosfusionenergy.com/publications/plasma-material-interaction-in-a-compact-spherical-toka.html,"Plasma-Material Interaction in a Compact Spherical-Tokamak Breeder: Sputtering, Net Erosion, and Redeposition Setting the Plasma-Facing-Surface Lifetime"
quench-nv-sensing,doi:22645752,quench-detection-and-nv-sensing,https://www.kronosfusionenergy.com/publications/quench-detection-and-nv-sensing.html,Fused Strain-Rate and Magnetization Quench Detection with In-Winding NV-Diamond Sensing for No-Insulation REBCO Breeder Magnets
radiated-power-impurity-cr,doi:22645883,collisional-radiative-impurity-radiation-modeling-for-a,https://www.kronosfusionenergy.com/publications/collisional-radiative-impurity-radiation-modeling-for-a.html,Collisional-Radiative Impurity-Radiation Modeling for a Compact Spherical-Tokamak Breeder: Closing the Core and Edge Radiated-Power Budget
rafm-steel-qualification,doi:22645887,qualifying-reduced-activation-ferritic-martensitic-stee,https://www.kronosfusionenergy.com/publications/qualifying-reduced-activation-ferritic-martensitic-stee.html,"Qualifying Reduced-Activation Ferritic-Martensitic Steel for a Compact Spherical-Tokamak Breeder: Strength, DBTT Shift and Swelling under 14 MeV Neutron Loading"
rebco-conductor-materials,doi:22645779,rebco-conductor-materials-under-irradiation,https://www.kronosfusionenergy.com/publications/rebco-conductor-materials-under-irradiation.html,"REBCO Conductor and Stabilizer Materials Under Neutron Irradiation: The Un-Doped-Tape Rule, Graphene-Reinforced Stabilizers and V2O3 Self-Protection for a Spherical-Tokamak Breeder"
rebco-magnets,doi:22645697,magnets,https://www.kronosfusionenergy.com/publications/magnets.html,"The REBCO High-Field Superconductor Basis: Conductor, Winding, and the Field Envelope for the Breeder Centrepost and Burner Plug"
rebco-radiation-tolerance,doi:22645923,first-principles-radiation-tolerance-of-centrepost-rebc,https://www.kronosfusionenergy.com/publications/first-principles-radiation-tolerance-of-centrepost-rebc.html,First-Principles Radiation Tolerance of Centrepost REBCO in a Compact Spherical-Tokamak Breeder: Chain-Oxygen-Vacancy Formation by DFT+U and YBCO Displacement-Cascade Molecular Dynamics
refractory-hea-pfc,doi:22645868,a-radiation-tolerant-refractory-high-entropy-alloy-for-,https://www.kronosfusionenergy.com/publications/a-radiation-tolerant-refractory-high-entropy-alloy-for-.html,A Radiation-Tolerant Refractory High-Entropy Alloy for Fusion Plasma-Facing Components: Microstructural Stability and a Scalable Processing Route
rotation-flow-shear-efc,doi:22645907,toroidal-rotation-flow-shear-stabilization-and-error-fi,https://www.kronosfusionenergy.com/publications/toroidal-rotation-flow-shear-stabilization-and-error-fi.html,"Toroidal Rotation, Flow-Shear Stabilization and Error-Field Correction in a Compact Spherical-Tokamak Breeder: Residual Transport and Locked-Mode Avoidance"
sloshing-ion-potential,doi:22645913,sloshing-ion-ambipolar-potential-formation-in-a-d-he-ta,https://www.kronosfusionenergy.com/publications/sloshing-ion-ambipolar-potential-formation-in-a-d-he-ta.html,Sloshing-Ion Ambipolar-Potential Formation in a D–³He Tandem-Mirror Burner: The Density-Ratio–Potential Pareto and Non-Maxwellian Tail Control
ta-free-pfc-alloys,doi:22645891,a-tantalum-and-rhenium-free-low-activation-alloy-family,https://www.kronosfusionenergy.com/publications/a-tantalum-and-rhenium-free-low-activation-alloy-family.html,"A Tantalum- and Rhenium-Free Low-Activation Alloy Family for First Wall, Divertor and Direct-Energy-Converter Electrodes: A First-Principles Composition-of-Matter Study"
tandem-mirror-design-space,doi:22645911,tandem-mirror-design-space-mapping-for-a-d-he-burner-0-,https://www.kronosfusionenergy.com/publications/tandem-mirror-design-space-mapping-for-a-d-he-burner-0-.html,Tandem-Mirror Design-Space Mapping for a D–³He Burner: 0-D Power Balance Benchmarked against WHAM and the Pastukhov-Plug Operating Point
tandem-mirror-end-cell,doi:22645852,end-cell-expander-and-halo-physics-in-a-d-3he-tandem-mi,https://www.kronosfusionenergy.com/publications/end-cell-expander-and-halo-physics-in-a-d-3he-tandem-mi.html,"End-Cell, Expander, and Halo Physics in a D-3He Tandem-Mirror Burner: The Mirror Ends That Set the Loss Budget"
thermal-barrier-decoupling,doi:22645781,ech-thermal-barrier-decoupling,https://www.kronosfusionenergy.com/publications/ech-thermal-barrier-decoupling.html,ECH-Sustained Thermal-Barrier Decoupling in the D-3He Tandem-Mirror Plug: Hot-Electron and Sloshing-Ion Formation of the Ion-Confining Potential
thermal-hydraulics-cfd,doi:22645836,blanket-and-divertor-thermal-hydraulics-for-a-compact-s,https://www.kronosfusionenergy.com/publications/blanket-and-divertor-thermal-hydraulics-for-a-compact-s.html,"Blanket and Divertor Thermal-Hydraulics for a Compact Spherical-Tokamak Breeder: Coolant Heat Removal, Peak-Temperature Margins, and the Walk-Away Safety Case"
tritium-accountancy-twin,doi:22645876,a-real-time-tritium-accountancy-twin-for-a-compact-sphe,https://www.kronosfusionenergy.com/publications/a-real-time-tritium-accountancy-twin-for-a-compact-sphe.html,"A Real-Time Tritium-Accountancy Twin for a Compact Spherical-Tokamak Breeder: In-Vessel Inventory, Retention, and Self-Sufficiency Bookkeeping"
tritium-barrier-coatings,doi:22645870,tritium-permeation-barrier-coatings-for-a-compact-spher,https://www.kronosfusionenergy.com/publications/tritium-permeation-barrier-coatings-for-a-compact-spher.html,Tritium Permeation-Barrier Coatings for a Compact Spherical-Tokamak Breeder: The Liquid-Lithium-over-Tin Wall-Chemistry Choice
tritium-fuel-cycle,doi:22645746,tritium-fuel-cycle-and-breeding-ladder,https://www.kronosfusionenergy.com/publications/tritium-fuel-cycle-and-breeding-ladder.html,"The Tritium Breeding Ladder for a Compact Spherical-Tokamak Breeder: Per-Unit Inventory, Doubling Time and the Fleet Path to Tritium Self-Sufficiency"
vertical-stability,doi:22645834,vertical-stability-at-high-elongation-displacement-grow,https://www.kronosfusionenergy.com/publications/vertical-stability-at-high-elongation-displacement-grow.html,"Vertical Stability at High Elongation: Displacement Growth Rates, Control-Coil Authority, and VDE Avoidance for a Compact Spherical-Tokamak Breeder"
vessel-structural-mechanics,doi:22645838,vacuum-vessel-and-support-structural-mechanics-under-el,https://www.kronosfusionenergy.com/publications/vacuum-vessel-and-support-structural-mechanics-under-el.html,"Vacuum-Vessel and Support Structural Mechanics Under Electromagnetic, Halo-Current, and Seismic Loads for a Compact Spherical-Tokamak Breeder"
